idx,paper_title,reviewer,sentence,matched_markers,ground_truth,label,confidence,correct
1,Reframing attention as a reinforcement learning problem for causal discovery,ICLR.cc/2026/Conference/Submission25201/Reviewer_c1aN,"Some key symbols (e.g., $J^t$) are used before being defined, and sets $N$ and $M$ are not introduced at all.",,objective,objective,0.8104,True
2,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,"Prior literature has extensively documented this phenomenon, and it's recognized that even random copy-move operations have a 1/64 chance of aligning with grid boundaries.",,objective,objective,0.7702,True
3,DIANA with Compression for Distributed Variational Inequalities: Eliminating the Need to Transmit Full Gradients,ICLR.cc/2026/Conference/Submission25336/Reviewer_DATd,"Error feedback is typically useful for biased but contractive compressors, but Theorems 2.5 and 2.8 do not clarify whether it improves convergence for extragradient DIANA.",,objective,objective,0.7314,True
4,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,"Only high-level summaries are given—no implementation details, hyperparameters, or reproducibility discussion.",,objective,objective,0.7548,True
5,On the (In)Significance of Feature Selection in High-Dimensional Datasets,ICLR.cc/2026/Conference/Submission25529/Reviewer_49XN,The dataset selection process is not described.,,objective,objective,0.893,True
6,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"No justification is provided for defining exactly 42 evaluation dimensions in Section 3.2, lacking a basis for this specific number.",,objective,objective,0.6028,True
7,Fracture-GS: Dynamic Fracture Simulation with Physics-Integrated Gaussian Splatting,ICLR.cc/2026/Conference/Submission25504/Reviewer_og4k,"There's no ablation for particle‑per‑cell, interior/surface ratios, or grid resolution.",,objective,objective,0.8777,True
8,Listwise Generalized Preference Optimization with Process-aware Signals for LLM Reasoning,ICLR.cc/2026/Conference/Submission25060/Reviewer_ErQE,"The approach assumes access to reasonably accurate PRMs, execution sandboxes, and consistency sampling; the paper notes performance can drop when PRM accuracy is low or process signals are unreliable.",,objective,objective,0.8786,True
9,Not All Who Wander Are Lost: Hallucinations as Neutral Dynamics in Residual Transformers,ICLR.cc/2026/Conference/Submission25471/Reviewer_ZZth,"What is a corridor constant, and what does it mean to be explicit and falsifiable?",,objective,subjective,0.8287,False
10,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,"Consequently, the paper’s findings highlight vulnerabilities in a limited class of detectors under specific conditions, rather than demonstrating a general weakness across all DCT-based detection methods.",,objective,objective,0.7933,True
11,MouseDTB: A Mouse Digital Twin Brain at Single-neuron Resolution,ICLR.cc/2026/Conference/Submission25506/Reviewer_RNXD,"Additionally, the modelling is only done at the level of brain regions and more fine-grained structures (for instance, the layers of visual cortex) are not modelled.",,objective,objective,0.9099,True
12,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_p8bK,No variance estimates or statistical significance tests are reported.,,objective,objective,0.8809,True
13,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_cswz,CABA requires all malicious clients to submit their updates simultaneously each round to sustain the emergent backdoor.,,objective,objective,0.6196,True
14,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_emKC,This method also outperforms heuristic-based initialization methods in their evaluations.,,objective,objective,0.8419,True
15,Improving Language Agents through BREW: Bootstrapping expeRientially-learned Environmental knoWledge,ICLR.cc/2026/Conference/Submission25161/Reviewer_Ffym,"Lack of introducing the insight-based memory work, like Expel[1], MSI-Agent[2] and SelfGoal[3].",,objective,subjective,0.5583,False
16,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_TUpE,The fusion mechanism of the proposed metric between the aesthetic and artifact branches is not described in sufficient detail.,,objective,objective,0.6573,True
17,Warfare: Breaking the Watermark Protection of AI-Generated Content,ICLR.cc/2026/Conference/Submission25085/Reviewer_6gnC,"Training a GAN typically requires thousands of diverse samples; otherwise, the model risks overfitting or mode collapse.",,objective,objective,0.7894,True
18,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,"The authors observe that Pass@1 diminishes with length increase, while Pass@32 generally increases.",,objective,objective,0.9315,True
19,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,"For example, in creative writing tasks, essay and script require different evaluation criteria.",,objective,objective,0.8724,True
20,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,"However, the details about the training and evaluation datasets, training configuration, and the exact model type (e.g., the LLM backbones) are missing.",,objective,objective,0.7114,True
21,Model-Aware Tokenizer Transfer,ICLR.cc/2026/Conference/Submission24994/Reviewer_GENk,"(iii) The paper considers only English-to-target machine translation as a generation task, which lacks the diversity of evaluation.",,objective,objective,0.828,True
22,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_P4Gf,The trigger in this work is designed within the joint trigger tuning process.,,objective,objective,0.7212,True
23,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_Ap6R,"There is no discussion or demonstration of its extensibility to other prevalent forgery methods, such as splicing or those involving AI-generated content.",,objective,objective,0.7873,True
24,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,"Moreover, recent multi-branch approaches, such as Luo et al. [2], which integrate DCT, ELA, and noise features, are excluded from the evaluation.",,objective,objective,0.892,True
25,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,The term “real world” or “physical world” are mentioned several places in the paper.,,objective,objective,0.8688,True
26,HiDivDrop: Vision Token Reduction in MLLMs via Late Injection and Differentiable Top-K,ICLR.cc/2026/Conference/Submission25145/Reviewer_gcbi,The applicability of the Joint Visual Layer Reduction.,,objective,objective,0.6957,True
27,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ErC3,"However, the paper provides no analysis of the average number of calls, token usage, latency, or financial cost per evaluation.",,objective,objective,0.9038,True
28,Contact-VLA: Zero-Shot Planning and Control for Contact-Rich Manipulation,ICLR.cc/2026/Conference/Submission25221/Reviewer_Tdgz,"However, in this work, it is a modular approach that leverages a combination of VLMs and LLMs.",,objective,objective,0.7689,True
29,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,The empirical estimation of the CS divergence relies on kernels (Eq. 11).,,objective,objective,0.9164,True
30,Where Redundancy Lives: Stage-Aware Block Saliency in Skip-Connected Models,ICLR.cc/2026/Conference/Submission25281/Reviewer_CYi4,In the introduction $\alpha$ values are not defined,,objective,objective,0.8331,True
31,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"While the framework uses parallel expert routing to improve efficiency, it does not quantify the computational costs of its MoE design—for example, how the number of experts (one per 42 dimensions) affects inference time or resource consumption compared to monolithic evaluators.",,objective,objective,0.7276,True
32,"ERS*: A Bounded, Attribution-Agnostic Metric for Explainable Robustness in Image Recognition",ICLR.cc/2026/Conference/Submission25011/Reviewer_K3y2,The experimental scope is limited to a single dataset (Persian Traffic Sign Dataset).,,objective,objective,0.9044,True
33,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,Table formatting errors: Table headers are not placed above the tables as required.,,objective,objective,0.7518,True
34,DeepCompress: A Dual Reward Strategy for Dynamically Exploring and Compressing Reasoning Chains,ICLR.cc/2026/Conference/Submission25170/Reviewer_EuSL,The classification depends on batch composition.,,objective,objective,0.9281,True
35,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_ESYX,This paper gives a comparison between cs divergence and kl divergence under Gaussian distribution.,,objective,objective,0.9035,True
36,AgentChangeBench: A Multi-Dimensional Evaluation Framework for Goal-Shift Robustness in Conversational AI,ICLR.cc/2026/Conference/Submission25416/Reviewer_iMah,"Incremental Advancement: The benchmark is primarily an extension of existing tool-use benchmarks, adding goal shift and persona dimensions.",,objective,objective,0.5572,True
37,CABA: A Collusive Aggregation-Emergent Backdoor Attack in Federated Learning,ICLR.cc/2026/Conference/Submission25274/Reviewer_7Dcr,"Experiments only conducted on CIFAR-10 with ResNet-18, lacking evidence of generality across more datasets and models.",,objective,objective,0.8709,True
38,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,The authors do not share (or promise to share) code for reproducing the experiments.,,objective,objective,0.888,True
39,Fairness via Independence: A General Regularization Framework for Machine Learning,ICLR.cc/2026/Conference/Submission25320/Reviewer_Pqrj,"Since the kernel implicitly defines a density estimator, the fairness performance could be highly sensitive to kernel type and bandwidth.",,objective,subjective,0.5144,False
40,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_2tsy,"The related work mentions the concept of “LLM Juries” by Cohere et al., but it is not included as a baseline.",,objective,objective,0.8735,True
41,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"The framework decomposes evaluation into 42 dimensions and assigns dedicated experts to each, but it does not analyze or mitigate potential knowledge redundancy between experts.",,objective,objective,0.8244,True
42,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"Key components are not ablated individually: The Jury Panel’s ablation only removes the entire panel, without testing the impact of removing either the General Judge or Critic Judge alone; there is no ablation of the Scenario Classifier or specific evaluation dimensions to verify their necessity.",,objective,objective,0.6414,True
43,hDRIVE: HDR Image Visual Evaluation Metric for SDR to HDR Upconversion Quality Assessment,ICLR.cc/2026/Conference/Submission25592/Reviewer_qovQ,"The abstract states that “the metric and dataset are available for download,” but no link or preview is provided in either the paper or the supplementary materials.",,objective,objective,0.926,True
44,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_hxQN,The authors acknowledge 23\% slower inference and quadratic scaling in contrastive components.,,objective,objective,0.9414,True
45,StaQ: a Finite Memory Approach to Discrete Action Policy Mirror Descent,ICLR.cc/2026/Conference/Submission25527/Reviewer_E3vT,The improvement with memory size (M) is not monotonic across tasks.,,objective,objective,0.6444,True
46,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_TBPh,"The paper uses symbols such as $Q_\omega$ or $\pi$, which are never formally defined.",,objective,objective,0.8847,True
47,Improving Developer Emotion Classification via LLM-Based Augmentation,ICLR.cc/2026/Conference/Submission25649/Reviewer_KLi7,"The text states “two paraphrases per training commit, yielding ~4,800 examples,” which suggests 1,600 originals + 3,200 paraphrases.",,objective,objective,0.9419,True
48,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_9Jj8,"4)	In line 127, it is stated that T-GCN and GC-LSTM are limited to capturing only short-term temporal graph features.",,objective,objective,0.9274,True
49,Style2Shape: Image Style Guided 3D Shape Material Generation,ICLR.cc/2026/Conference/Submission25608/Reviewer_Hn2v,"For example, there is no experiment showing the effect of misalignment when the input image is not properly aligned with the geometry.",,objective,objective,0.8942,True
50,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_LPVL,The figures in the experimental results do not show the variance of reported metrics across independent runs.,,objective,objective,0.8841,True
51,Scaling Laws for Generative Reward Models,ICLR.cc/2026/Conference/Submission25601/Reviewer_UekM,"My main concern is, while the work is promising, I don't see that the experiments support the main conclusions that authors draw.",promising,subjective,subjective,0.6243,True
52,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,"Although the intuition behind character-ID information is interesting, there are several weak issues in this manuscript.  1/ Clarity.",interesting,subjective,subjective,0.615,True
53,Efficient High-Resolution Image Editing with Hallucination-Aware Loss and Adaptive Tiling,ICLR.cc/2026/Conference/Submission25554/Reviewer_GPpq,1 The definition of hallucinations in this paper is overly simplistic and lacks rigor.,simplistic | lacks,subjective,subjective,0.6917,True
54,MAIG: Multi-agent system for Academic Illustration Generation based on deep search and reflection,ICLR.cc/2026/Conference/Submission25589/Reviewer_xRDB,"The authors should, for instance, discuss how their framework compares to general-purpose multi-agent frameworks like AutoGen or CrewAI, and why a bespoke system was necessary. - Insufficient comparison to recent agentic frameworks.",Insufficient,subjective,objective,0.54,False
55,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_v45Z,I think you really need an algorithm or a figure that places all the pieces together so that one can understand how they relate to each other [1] Cross-environment Cooperation Enables Zero-shot Multi-agent Coordination,I think,subjective,subjective,0.6224,True
56,Task Tokens: A Flexible Approach to Adapting Behavior Foundation Models,ICLR.cc/2026/Conference/Submission25607/Reviewer_zBs9,"In addition, it seems like the baseline fine-tuning does not employ standard parameter‑efficient fine‑tuning methods inside the BFM (e.g., LoRA/adapters), which would be the real baseline when talking about efficiency.",it seems,subjective,subjective,0.5125,True
57,Contrastive-Aligned Knowledge Distillation for Collaborative Code Completion via Multi-Agent Reinforcement Learning,ICLR.cc/2026/Conference/Submission25606/Reviewer_hxQN,"The environment structure, reward horizon, and credit assignment in MARL are not clearly defined.",not clearly,subjective,objective,0.5918,False
58,Style2Shape: Image Style Guided 3D Shape Material Generation,ICLR.cc/2026/Conference/Submission25608/Reviewer_Hn2v,"The paper lacks comparison to several relevant methods, such as MaterialMVP (ICCV 2025), which also supports image as the condition and generates the object material.",lacks | relevant,subjective,objective,0.8529,False
59,Revisiting Multilingual Data Mixtures in Language Model Pretraining,ICLR.cc/2026/Conference/Submission25639/Reviewer_GiHe,I think this would be particularly interesting to see as opposed to just the pivot languages because the model is explicitly trained on those anyway.,I think | interesting,subjective,subjective,0.6832,True
60,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,I'd much prefer if the evals were as rigorous as possible and i think LLM as a judge weakens the argument,I'd much prefer ,subjective,subjective,0.7488,True
61,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,"At the same time, I'm not a great fan of the LLM as a judge evaluation of the agents",I'm not a,subjective,subjective,0.6045,True
62,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_guxm,This is not interesting.,interesting,subjective,subjective,0.7296,True
63,AlienLM: Alienization of Language for Privacy-Preserving API Interaction with LLMs,ICLR.cc/2026/Conference/Submission25556/Reviewer_EeK6,"Additional privacy-related baselines, such as approaches based on secure inference, differential privacy, should be included for a more convincing empirical validation. 3.",should be,subjective,objective,0.5958,False
64,Curriculum-Based Termination Critic for Scalable Program Decomposition in Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25563/Reviewer_e415,- The paper is really unclear on exactly what and how the probem is being solved.,unclear,subjective,subjective,0.6559,True
65,Jet Expansions: Restructuring LLM Computation for Model Inspection,ICLR.cc/2026/Conference/Submission25587/Reviewer_QKXz,"More explicitly stating what the measured quantities in the experiments correspond to in terms of the theory and the notation introduced above would be useful here, I think. 	- For example, how do $n$-gram statistic map to jets? - It is unclear to me to what degree the results should be trusted as a truthful representation of the model.",I think | unclear | should be,subjective,subjective,0.6606,True
66,Riemannian Geometry: Speech Detection from MEG Brain Signals Towards Non-Invasive BCI,ICLR.cc/2026/Conference/Submission25560/Reviewer_i4zw,- The title is overclaiming by having “Riemannian Geometry” as the opening clause.,overclaiming,subjective,objective,0.5315,False
67,Improving Developer Emotion Classification via LLM-Based Augmentation,ICLR.cc/2026/Conference/Submission25649/Reviewer_tdxY,"As it stands, this dataset introduction is not well-enough motivated.",not well,subjective,subjective,0.6369,True
68,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,ICLR.cc/2026/Conference/Submission25618/Reviewer_qRvF,Positioning/novelty vs. close baselines is thin.,novelty,subjective,subjective,0.6393,True
69,Silver Stepsize for Faster Zeroth-Order Optimization,ICLR.cc/2026/Conference/Submission25582/Reviewer_oiV7,A proper grid search for the best learning rate should have been conducted.,should have,subjective,subjective,0.6109,True
70,Cross-Modal Syntax-NL Attention for Multi-Agent Reinforcement Learning in Collaborative Coding,ICLR.cc/2026/Conference/Submission25586/Reviewer_i1oQ,"Indeed, as it stands, it is unclear whether, for instance, the current results are not the consequence of a lucky, unintentional cherry-picking of the right (default) random seed.",unclear,subjective,subjective,0.8494,True
71,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_PTWu,"Without geographic context, it is unclear how representative or generalizable the benchmark is. **Tools are narrower.** The toolkit focuses on perception and spatial-relation operators (buffer, overlap, containment) but lacks temporal/change and code-based tools that are common in broader geospatial reasoning workflows.",unclear | lacks,subjective,subjective,0.534,True
72,Silver Stepsize for Faster Zeroth-Order Optimization,ICLR.cc/2026/Conference/Submission25582/Reviewer_XZvk,"Although I am not deeply familiar with the specific two-point ZO estimation paradigm, it seems that the paper should include comparisons with more advanced accelerated or variance-reduced zeroth-order optimizers—for example, algorithms that incorporate momentum, adaptive smoothing, or gradient-tracking techniques.",it seems  | should include,subjective,objective,0.5024,False
73,Curricular Adversarial Training for Robust Code Generation via Hierarchical Reinforcement Learning,ICLR.cc/2026/Conference/Submission25575/Reviewer_TNBK,"The paper does not clearly define the adversarial setting for code generation—what kinds of perturbations are used, how they are measured, and what “robustness” precisely means.",not clearly | robustness,subjective,objective,0.733,False
74,Scaling Laws for Generative Reward Models,ICLR.cc/2026/Conference/Submission25601/Reviewer_UekM,"It was not very clear what the ablations where trying to accomplish sometimes, would have been beneficial.",very clear,subjective,subjective,0.8101,True
75,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"Given that MoE architectures typically incur higher memory or latency costs due to expert activation, this omission makes it hard to assess the framework’s practicality in resource-constrained environments.",hard to assess,subjective,subjective,0.5437,True
76,Cross-Modal Syntax-NL Attention for Multi-Agent Reinforcement Learning in Collaborative Coding,ICLR.cc/2026/Conference/Submission25586/Reviewer_gL1u,The poor presentation makes it extremely difficult to evaluate the technical soundness and novelty of the contributions. 1.,difficult to evaluate | novelty,subjective,subjective,0.6746,True
77,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_dDiY,The power of these tests and their reliability for clinical interpretation are questionable. 4.,questionable,subjective,subjective,0.6168,True
78,Triple-S: A Sticker Semantic Similarity Benchmark with General Sticker Encoder,ICLR.cc/2026/Conference/Submission25572/Reviewer_yX6H,"The paper fails to reveal the state of the art on this task. - The ablation study (Table 7) shows that training on Triple-S or MultiChat alone gives marginal benefit, but training on both provides a huge boost.",fails to,subjective,objective,0.7336,False
79,LaMbDA: Local Latent Embedding Alignment for Cross-modal Time-Series Diffusion,ICLR.cc/2026/Conference/Submission25565/Reviewer_PVqD,"If like that, I would like to see the author could align diffrent high dimensional observations.",would like to see,subjective,subjective,0.744,True
80,HTR for Russian Empire Period Manuscripts: A Two-Stage Framework with New Annotated Resources,ICLR.cc/2026/Conference/Submission25555/Reviewer_BcVz,"The experimental evaluation, while promising, appears somewhat limited in scope.",promising | somewhat limited,subjective,objective,0.5656,False
81,Causal Reasoning Favors Encoders: Limits of Decoder-Only Models,ICLR.cc/2026/Conference/Submission25568/Reviewer_vzTB,Direct label prediction is insufficient to measure reasoning; CoT or reasoning-path supervision is absent. 3.,insufficient,subjective,objective,0.5432,False
82,Less is More: Improving Molecular Force Fields with Minimal Temporal Information,ICLR.cc/2026/Conference/Submission25585/Reviewer_ZeyN,"As such, I believe the evaluation is lacking, but I do not know if improving it is possible, given that recent datasets cannot easily be trained with the proposed strategy.",I believe,subjective,subjective,0.5858,True
83,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,"Nonetheless, the analysis of the dataset is very low and we cannot understand the impact of each of these tasks; the various design choices for each task, albeit explained, are not experimentally verified and seem arbitrary.  4/ Lack of insights.",we cannot understand,subjective,subjective,0.5769,True
84,Less is More: Improving Molecular Force Fields with Minimal Temporal Information,ICLR.cc/2026/Conference/Submission25585/Reviewer_8Ljb,"The loss only improved the accuracy over the baseline in 9/16 cases, each improvement being less than 5%. - I am not sure the small gains have anything to do with temporality.",not sure,subjective,objective,0.6392,False
85,AlienLM: Alienization of Language for Privacy-Preserving API Interaction with LLMs,ICLR.cc/2026/Conference/Submission25556/Reviewer_EeK6,Poor presentation and readability: The overall presentation is difficult to follow.,difficult to follow,subjective,subjective,0.6393,True
86,Unsupervised Dynamic Graph Multi-Model Representation Learning for Temporal Patterns Discovery: Uncovering Parkinson’s Disease Stages Using Cerebrospinal Fluid Longitudinal Profiles,ICLR.cc/2026/Conference/Submission25570/Reviewer_QbpR,"For example, the authors describe constructing “age-based” graphs, when in fact each graph corresponds instead to a specific visit time (a better -and correct- term in my opinion would be visit-based graphs).",in my opinion,subjective,objective,0.5386,False
87,D-MOE-EVAL: A Dynamic Mixture Of Experts Framework For Human-Aligned Nuanced Large Language Model Evaluation,ICLR.cc/2026/Conference/Submission25569/Reviewer_ZMSh,"Figures 1 and 2 are overly simplistic, failing to clearly illustrate the framework’s workflow.",simplistic,subjective,subjective,0.6209,True
88,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_5bSx,"Without comparing to ThinkGeo directly or analyzing performance differences across modalities, it's hard to assess the true benefits of the proposed approach.",hard to assess,subjective,subjective,0.5937,True
89,THE JPEG BLIND SPOT: EXPOSING A CRITICAL VULNERABILITY IN DOCUMENT TAMPERING DETECTION,ICLR.cc/2026/Conference/Submission25466/Reviewer_o5xa,"Finally, the experimental design and visualization are inadequate.",inadequate,subjective,objective,0.5385,False
90,Hierarchies over Pixels: A Benchmark for Cognitive Geospatial Reasoning for Agents,ICLR.cc/2026/Conference/Submission25567/Reviewer_CA8L,This is questionable.,questionable,subjective,subjective,0.7648,True
91,Contrastive Code Graph Embeddings for Reinforcement Learning-Based Automated Code Refactoring,ICLR.cc/2026/Conference/Submission25618/Reviewer_BKDb,I believe this paper was generated by AI.,I believe,subjective,objective,0.7633,False
92,All-in-One: Boosting Basic Capabilities in one Omni-MLLM to Enhance Movie Understanding,ICLR.cc/2026/Conference/Submission25627/Reviewer_pdST,I find the paper hard to follow and every part somehow disconnected from the overall goal.  2/ Lack of solid contributions.,I find | hard to follow | Lack,subjective,subjective,0.7193,True
93,Diffusion-Advection Transformer for Air Quality Prediction,ICLR.cc/2026/Conference/Submission25577/Reviewer_RSdU,"5.The related work section is insufficient, and the baselines listed in the main experiment table are quite limited.",insufficient | quite limited,subjective,objective,0.7131,False
94,Neuron-Aware Data Selection in Instruction Tuning for Large Language Models,ICLR.cc/2026/Conference/Submission25580/Reviewer_wy8Y,The paper seems doesn’t specify which layers’ activations are used to compute features or why.,The paper seems,subjective,objective,0.7718,False
95,Efficient High-Resolution Image Editing with Hallucination-Aware Loss and Adaptive Tiling,ICLR.cc/2026/Conference/Submission25554/Reviewer_BLVj,"Therefore, they should be moved from the supplementary material to the main paper.",should be,subjective,objective,0.5925,False
96,Jet Expansions: Restructuring LLM Computation for Model Inspection,ICLR.cc/2026/Conference/Submission25587/Reviewer_QKXz,"- Unfortunately, I found it a bit hard to follow the transition between the empirical results and the theoretical setup.",hard to follow,subjective,subjective,0.5832,True
97,Causal Reasoning Favors Encoders: Limits of Decoder-Only Models,ICLR.cc/2026/Conference/Submission25568/Reviewer_157V,"The paper proposes an interesting finding: decoder-only language models exhibit weaker logical reasoning abilities compared to fine-tuned encoder and encoder-decoder models, which I appreciate.",The paper proposes | interesting,subjective,objective,0.5969,False
98,Causal Reasoning Favors Encoders: Limits of Decoder-Only Models,ICLR.cc/2026/Conference/Submission25568/Reviewer_ivZq,"The first apparent weakness, I think, lies in the writing.",I think,subjective,subjective,0.6955,True
99,SAVIOR: Sample-efficient Alignment of Vision-Language Models for OCR Representation,ICLR.cc/2026/Conference/Submission25642/Reviewer_Lzsk,I don't have specific improvement suggestions for this work because I believe it should generally undergo a major revision in order to be accepted to this conference.,I believe,subjective,objective,0.5181,False
100,Training as Computation: A Resource-Bounded Theory of Continual Self-Play Learning,ICLR.cc/2026/Conference/Submission25593/Reviewer_AxQw,I am not sure whether typical LLM self-play systems used in practice satisfy these conditions. 2.,not sure,subjective,objective,0.5318,False
